,Low pdvocacy,High pdvocacy,Low Prep,High Prep,Low transf,High transf,Sector equal split transf
alpha,0.14,0.09,0.14,0.07,0.09,0.21,0.32
beta_mkt,1.09,1.12,1.07,1.15,1.13,1.06,0.99
beta_smb,0.07,0.12,0.01,0.13,0.09,-0.0,-0.03
beta_hml,0.15,0.24,0.17,0.21,0.23,0.13,0.04
p-value(alpha),0.18,0.37,0.18,0.54,0.41,0.06,0.01
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.28,0.12,0.92,0.1,0.18,0.98,0.65
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.3
Adj. R^2,0.95,0.96,0.95,0.95,0.96,0.94,0.93
