,Low Advocacy,High Advocacy,Low Upskilling,High Upskilling,Low Adaptation-change,High Adaptation-change,Low Innovation,High Innovation
alpha,0.15,0.02,-0.05,0.12,0.18,0.27,0.33,0.14
beta_mkt,1.0,1.02,0.99,1.09,1.07,0.98,1.02,0.99
beta_smb,0.17,0.17,0.1,0.19,0.19,0.15,0.24,0.06
beta_hml,0.28,0.34,0.2,0.35,0.35,0.23,0.4,0.3
p-value(alpha),0.22,0.89,0.72,0.37,0.06,0.02,0.03,0.31
p-value(beta_mkt),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p-value(beta_smb),0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.3
p-value(beta_hml),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adj. R^2,0.95,0.95,0.93,0.96,0.97,0.94,0.93,0.94
