date,Market,High transformation,High preparation,High advocacy,Low advocacy
2016-07-29,1.0002,1.0002,1.0002,1.0002,1.0002
2016-08-31,1.0047009,0.9986930604304137,1.0092047839697964,1.0012382483749436,1.0060212263136996
2016-09-30,1.00831782324,1.0029921983931769,1.0168259684501892,1.0057363812692208,1.0104184674389294
2016-10-31,0.9878489714282281,1.013560670554288,0.9853916571273985,1.0046521579898877,0.9954640937752145
2016-11-30,1.0327960996282126,1.06941184586832,1.0217163704083887,1.0825620304714616,1.0551021570888255
2016-12-30,1.0513864294215205,1.0881912896844568,1.0402016871591728,1.109275140614834,1.080444434577752
2017-01-31,1.0742015149399675,1.1204065610155503,1.07016625131483,1.14674497063618,1.0983304898651862
2017-02-28,1.1094353246299984,1.1512030474021602,1.1117028644738711,1.1850687845247496,1.1389604046965884
2017-03-31,1.1120979694091104,1.180875040233276,1.1179676757338495,1.1845696652618218,1.1425616875912707
2017-04-28,1.1219956413368515,1.196988639447419,1.1199352454431453,1.1850368856946276,1.1484274930483473
2017-05-31,1.1331033981860863,1.2241137191791034,1.154030259218624,1.2245922356739216,1.1588040575900282
2017-06-30,1.14500098386704,1.239205096246738,1.1665419436124296,1.23326659218853,1.1850397829729273
2017-07-31,1.1683590039379277,1.2595044703916627,1.1915479831757632,1.2807190886959658,1.211380080777027
2017-08-31,1.1701115424438344,1.2709355622576792,1.1937140075017012,1.2786480755259853,1.2245604463803539
2017-09-29,1.2001834090846408,1.3148909423436883,1.2321226804834602,1.3003574828435256,1.2610030378618562
2017-10-31,1.2250272056526927,1.3523425720420799,1.2460184297546424,1.3210581906820258,1.2854226213127444
2017-11-30,1.2612880109400122,1.4168165959131516,1.2882668098694003,1.3694103773363429,1.332567899178101
2017-12-29,1.2773063686789503,1.435147630184909,1.305769250981985,1.3700806089686377,1.352133652604296
2018-01-31,1.3455145287664063,1.5096056904836903,1.3545858634469132,1.4002120679307481,1.4143891273036497
2018-02-28,1.2938467708617762,1.4469712735753155,1.292482467868298,1.360692167774834,1.3549673633943384
2018-03-29,1.2673229120591096,1.434192319619222,1.27415172926132,1.3559442607748124,1.3338247119227724
2018-04-30,1.2735327943281993,1.4398646288758021,1.2749331543415774,1.35314858693344,1.3324787866293173
2018-05-31,1.3072814133778965,1.453124721790527,1.259929540484547,1.3758125290069305,1.328805310408754
2018-06-29,1.3142100048687995,1.4671859207446087,1.264258133839239,1.3782914927137586,1.3414441205371126
2018-07-31,1.3571846720280092,1.5401756388160948,1.3009809276417388,1.4110113292344377,1.3915669658172707
2018-08-31,1.4012931738689194,1.54587476096984,1.3295458177264796,1.431427233422595,1.4088642775749987
2018-09-28,1.404235889534044,1.5576893321055147,1.3237335769167156,1.4376535099048304,1.4173346817636774
2018-10-31,1.29723311475155,1.4438634894220779,1.2097302314731935,1.3315946668850211,1.3013791327176383
